disfluency_type,pos_tag,pmi
<>,Adjective,2.0938659379212137
<>,Adverb,-0.03972771106943978
<>,Conjunction,-1.239489982859032
<>,Determiner,-0.9475795742977301
<>,Interjection,0.708109355787126
<>,Noun,-0.6587669194756629
<>,Preposition,-0.533603776521657
<>,Pronoun,-0.03576534828247748
<>,Verb,-0.35435441876467266
P,Adjective,-1.3593916397514498
P,Adverb,-0.5073033510416137
P,Conjunction,-0.02616874641496082
P,Determiner,0.7051083219301869
P,Interjection,-1.1093930011340638
P,Noun,-0.379128157617616
P,Preposition,0.35694406765936315
P,Pronoun,0.28035162217797954
P,Verb,0.2766822299312631
PW,Adjective,0.20391444251394503
PW,Adverb,0.12444452721883759
PW,Conjunction,0.26058260279772927
PW,Determiner,-2.837531069704999
PW,Interjection,0.11744084451011827
PW,Noun,-0.30800872560697357
PW,Preposition,0.28449492917328423
PW,Pronoun,-0.0315423690336218
PW,Verb,-0.003596224895983138
R,Adjective,-0.035067389782672556
R,Adverb,-0.9282185546659985
R,Conjunction,-0.45970241399855716
R,Determiner,0.41999465946486403
R,Interjection,-0.30959321928943906
R,Noun,0.7822347828417482
R,Preposition,0.1873432923158846
R,Pronoun,-0.3715396264038854
R,Verb,0.16592195461071788
WW,Adjective,-0.723157293462439
WW,Adverb,0.39980594938279684
WW,Conjunction,0.07598311394379217
WW,Determiner,0.24273037955108817
WW,Interjection,0.17618590305649937
WW,Noun,-0.5831986362248381
WW,Preposition,-0.3649450702048203
WW,Pronoun,0.07918917906249835
WW,Verb,-0.23115808652459297
