type,word,current_pos
R,with,Preposition
PW,and,Conjunction
PW,tokens,Noun
PW,tokens,Noun
<>,circa,Adjective
P,I,Pronoun
<>,I,Pronoun
<>,he,Pronoun
PW,I,Pronoun
P,go,Verb
R,and,Conjunction
PW,it,Pronoun
PW,go,Verb
R,they're,Verb
P,I,Pronoun
PW,grandpa,Noun
WW,like,Interjection
PW,gray,Adjective
R,I,Pronoun
PW,it's,Pronoun
R,I,Pronoun
R,dig,Verb
PW,and,Conjunction
PW,turquoise,Noun
WW,it's,Pronoun
<>,little,Adjective
<>,my,Pronoun
P,I,Pronoun
P,I,Pronoun
WW,the,Determiner
WW,bob,Noun
R,RESTARTREVISION,Noun
WW,he,Pronoun
WW,and,Conjunction
WW,in,Adverb
PW,her,Pronoun
WW,I,Pronoun
<>,talking,Verb
PW,I,Pronoun
R,alley,Verb
PW,had,Verb
R,and,Conjunction
R,and,Conjunction
<>,her,Pronoun
R,here's,Noun
P,here,Adverb
PW,it,Pronoun
R,RESTARTREVISION,Noun
P,the,Determiner
R,we,Pronoun
WW,eat,Verb
WW,and,Conjunction
WW,but,Conjunction
WW,were,Verb
<>,and,Conjunction
P,and,Conjunction
WW,the,Determiner
R,no,Determiner
R,and,Conjunction
WW,and,Conjunction
R,RESTARTREVISION,Noun
WW,the,Determiner
R,RESTARTREVISION,Noun
R,RESTARTREVISION,Noun
WW,with,Preposition
R,RESTARTREVISION,Noun
PW,with,Preposition
R,this,Pronoun
R,I,Pronoun
WW,and,Conjunction
WW,and,Conjunction
WW,we,Pronoun
R,a,Determiner
WW,that,Conjunction
PW,I'll,Verb
PW,and,Conjunction
PW,no,Interjection
WW,I,Pronoun
WW,I,Pronoun
PW,skinny,Adjective
R,small,Adjective
P,let's,Noun
WW,I,Pronoun
WW,well,Interjection
PW,well,Interjection
PW,didn't,Interjection
<>,squish,Adjective
<>,squish,Adjective
R,we,Pronoun
WW,we,Pronoun
<>,squish,Adjective
WW,well,Interjection
P,did,Verb
WW,why,Conjunction
R,so,Adverb
R,we,Pronoun
WW,so,Adverb
WW,we,Pronoun
WW,I,Pronoun
PW,yes,Interjection
WW,so,Adverb
R,at,Preposition
PW,I,Pronoun
WW,and,Conjunction
R,let's,Noun
WW,so,Adverb
R,let's,Adjective
PW,well,Interjection
WW,so,Adverb
WW,well,Interjection
R,know,Verb
PW,splash,Verb
R,wa,Interjection
P,I,Pronoun
R,RESTARTREVISION,Noun
P,well,Interjection
<>,well,Interjection
WW,I,Pronoun
P,how,Conjunction
WW,so,Adverb
PW,so,Adverb
WW,well,Interjection
WW,so,Adverb
R,my,Pronoun
PW,I,Pronoun
R,oh,Interjection
P,I,Pronoun
PW,well,Interjection
P,does,Verb
P,I,Pronoun
PW,I,Pronoun
WW,put,Verb
P,you,Pronoun
PW,when,Conjunction
WW,no,Interjection
P,they,Pronoun
PW,and,Conjunction
WW,mom,Noun
P,the,Determiner
WW,me,Pronoun
WW,now,Adverb
P,so,Adverb
P,and,Conjunction
P,in,Preposition
R,so,Adverb
WW,so,Adverb
WW,well,Interjection
P,a,Determiner
WW,a,Determiner
P,what,Pronoun
PW,what,Pronoun
PW,can,Verb
WW,mommy,Noun
R,ps,Noun
WW,I,Pronoun
WW,mommy,Noun
PW,that's,Noun
WW,mom,Noun
WW,no,Interjection
WW,and,Conjunction
PW,no,Interjection
<>,n,Adverb
PW,mine,Noun
WW,mommy,Noun
WW,I,Pronoun
PW,that,Conjunction
PW,and,Conjunction
PW,and,Conjunction
WW,some,Pronoun
WW,some,Pronoun
WW,some,Determiner
R,s,Verb
WW,I,Pronoun
PW,and,Conjunction
PW,and,Conjunction
WW,and,Conjunction
WW,can,Verb
WW,I,Pronoun
R,RESTARTREVISION,Noun
WW,I,Pronoun
P,right,Adverb
WW,some,Determiner
WW,no,Interjection
WW,mine,Noun
WW,mine,Noun
WW,that,Conjunction
P,I,Pronoun
PW,this,Pronoun
R,p,Noun
PW,this,Pronoun
WW,that's,Noun
R,p,Noun
P,I,Pronoun
PW,this,Pronoun
P,he's,Noun
P,he,Pronoun
WW,on,Preposition
P,can,Verb
PW,and,Conjunction
WW,can,Verb
P,mommy,Noun
P,can,Verb
WW,he,Pronoun
R,RESTARTREVISION,Noun
P,and,Conjunction
WW,he's,Noun
<>,t,Noun
R,RESTARTREVISION,Noun
R,RESTARTREVISION,Noun
PW,mine,Noun
WW,mom,Noun
R,my,Pronoun
PW,we,Pronoun
P,mommy,Noun
P,what,Pronoun
PW,where,Conjunction
P,I,Pronoun
WW,I,Pronoun
R,hey,Interjection
R,that,Pronoun
R,yea,Verb
R,ye,Noun
PW,you,Pronoun
P,he,Pronoun
R,uncl,Verb
P,he,Pronoun
R,a,Determiner
R,you,Pronoun
PW,this,Pronoun
PW,mess,Noun
WW,who,Pronoun
P,I'm,Pronoun
P,I'm,Pronoun
WW,throw,Verb
R,I'm,Pronoun
P,I,Pronoun
P,I,Pronoun
P,cross,Verb
WW,I'm,Pronoun
R,they,Pronoun
WW,I,Pronoun
R,no,Determiner
R,pf,Interjection
PW,seek,Verb
WW,we,Pronoun
PW,where,Conjunction
WW,this,Pronoun
R,these,Determiner
PW,hey,Interjection
PW,can,Verb
WW,and,Conjunction
PW,that's,Noun
P,hey,Interjection
PW,I'm,Pronoun
WW,so,Adverb
PW,hey,Interjection
R,there's,Verb
PW,that's,Noun
WW,I,Pronoun
R,hey,Interjection
R,no,Interjection
WW,no,Interjection
PW,no,Interjection
PW,I,Pronoun
PW,I,Pronoun
WW,look,Verb
PW,we,Pronoun
R,tha,Verb
WW,this,Pronoun
R,what,Pronoun
PW,but,Conjunction
WW,I,Pronoun
WW,but,Conjunction
PW,you,Pronoun
<>,I,Pronoun
WW,but,Conjunction
WW,but,Conjunction
WW,but,Conjunction
WW,but,Conjunction
WW,but,Conjunction
R,nope,Interjection
WW,but,Conjunction
PW,and,Conjunction
PW,but,Conjunction
P,and,Conjunction
R,RESTARTREVISION,Noun
PW,and,Conjunction
WW,them,Pronoun
WW,but,Conjunction
WW,no,Interjection
WW,there,Adverb
WW,no,Interjection
WW,he's,Noun
PW,either,Conjunction
WW,I,Pronoun
R,RESTARTREVISION,Noun
R,RESTARTREVISION,Noun
WW,some,Determiner
WW,I,Pronoun
PW,that's,Noun
R,here,Adverb
R,cuz,Conjunction
WW,is,Verb
PW,because,Conjunction
WW,you,Pronoun
R,a,Determiner
PW,you,Pronoun
R,RESTARTREVISION,Noun
WW,you,Pronoun
R,RESTARTREVISION,Noun
PW,you,Pronoun
WW,and,Conjunction
P,you,Pronoun
R,but,Conjunction
PW,what's,Noun
WW,and,Conjunction
PW,you,Pronoun
PW,you,Pronoun
PW,but,Conjunction
PW,no,Interjection
<>,I,Pronoun
PW,yesterday,Noun
WW,no,Interjection
WW,so,Adverb
<>,no,Interjection
PW,but,Conjunction
<>,no,Interjection
PW,I,Pronoun
PW,just,Adverb
WW,put,Verb
WW,so,Adverb
WW,so,Adverb
WW,no,Interjection
WW,it's,Pronoun
WW,no,Interjection
WW,the,Determiner
PW,but,Conjunction
R,and,Conjunction
PW,yeah,Interjection
WW,I,Pronoun
PW,nope,Noun
WW,I,Pronoun
PW,look,Verb
WW,I,Pronoun
PW,that,Conjunction
PW,like,Interjection
WW,I,Pronoun
WW,that,Conjunction
<>,that,Pronoun
P,that,Conjunction
PW,that,Conjunction
WW,that,Conjunction
R,RESTARTREVISION,Noun
R,that,Conjunction
WW,that,Conjunction
PW,mama,Noun
R,they're,Verb
WW,they're,Noun
PW,over,Adverb
WW,I,Pronoun
PW,missed,Verb
WW,mama,Interjection
WW,no,Interjection
PW,no,Interjection
WW,can,Verb
WW,we,Pronoun
