disfluency,pos,count,p_raw,p_fdr
R,Noun,56,7.780326999203293e-14,3.5011471496414817e-12
<>,Adjective,5,7.066007678924035e-08,1.5898517277579079e-06
WW,Noun,20,0.0005734250388619193,0.00860137558292879
PW,Determiner,0,0.0011132372013127828,0.012523918514768806
WW,Adverb,29,0.008189722110912729,0.06136054077662057
R,Adverb,5,0.009544973009696534,0.06136054077662057
R,Pronoun,32,0.007371500379864118,0.06136054077662057
P,Interjection,3,0.018575236364744098,0.10448570455168554
R,Conjunction,17,0.02237490993904901,0.11187454969524505
PW,Conjunction,44,0.02746431639081805,0.12358942375868123
P,Pronoun,33,0.032509051835095185,0.13299157568902575
<>,Interjection,7,0.04219460695523048,0.1582297760821143
PW,Noun,23,0.07181241796764812,0.24858144681108965
P,Determiner,7,0.07854479732340074,0.2524654199680738
<>,Conjunction,1,0.11880849263360872,0.3564254779008262
WW,Adjective,2,0.17810282716797418,0.47686334560606897
R,Determiner,10,0.19735640879096017,0.47686334560606897
R,Interjection,14,0.1901882759078357,0.47686334560606897
WW,Verb,21,0.20134230147811802,0.47686334560606897
WW,Interjection,33,0.22271331475774261,0.501104958204921
P,Noun,9,0.23662068484625573,0.5070443246705479
P,Adverb,4,0.2795381125935706,0.5717825030323035
P,Adjective,0,0.2960985989648765,0.5793233458008453
P,Verb,13,0.31458123451911363,0.589340806111849
WW,Pronoun,72,0.32741155895102725,0.589340806111849
<>,Noun,2,0.36991516648510303,0.6402377881472938
WW,Preposition,4,0.38997511346701863,0.649958522445031
R,Verb,22,0.4080075578350837,0.655726432234956
WW,Determiner,12,0.42364133480254706,0.6573744850384351
PW,Interjection,27,0.5089516045858952,0.7634274068788428
WW,Conjunction,42,0.5522251023757435,0.7800647183212446
<>,Determiner,0,0.5547126885839961,0.7800647183212446
PW,Preposition,7,0.5756510696867259,0.7849787313909898
PW,Adverb,19,0.6108628328840184,0.8084949258759068
<>,Verb,2,0.7312821771904463,0.9402199421020023
<>,Preposition,0,0.7915926623689911,0.9894908279612388
<>,Pronoun,8,1.0,1.0
PW,Adjective,5,0.895931359826369,1.0
P,Conjunction,14,1.0,1.0
R,Adjective,3,1.0,1.0
PW,Verb,23,1.0,1.0
PW,Pronoun,56,0.8874463742316648,1.0
<>,Adverb,2,1.0,1.0
P,Preposition,3,0.8761621159033199,1.0
R,Preposition,5,0.9347121630984835,1.0
